,text,labels
0,id responded going,1
1,soon ad miss san diego,0
2, boss bullying,0
3, interview leave alone,0
4,sons couldnt put releases already bought,0
5, shameless plugging best rangers forum earth,1
6,2am feelings baby fun smiles cool,1
7,soon high,1
8,,1
9,journey wow u became cooler possible,1
10, much love hopeful reckon chances minimal p im never gon na get cake stuff,1
11, really really like song love story taylor swift,1
12, share running dangerously low ink,0
13, want go music tonight lost voice,0
14,test test lt en2,1
15,uh oh sunburned,0
16,sok trying plot alternatives speak sigh,0
17,ive sick past days thus hair looks weird didnt hat would look,0
18, back home gon na miss every one,0
19,yes,1
20,oh early im sorry hope find soon 3 3,1
21,playing ghost online really interesting new updates keirin pet metamorphic third job cant wait dragon pet,1
22, cleaning house family coming later today,1
23,got ta restart computer thought win7 supposed put end constant rebootiness,1
24, mean for0w friidays called love f0llowers friday sm,1
25, free filling app ipod fun im addicted,1
26,im sorry,0
27, way malaysian internet access twin,0
28, came back berkeley omg made fun havent minute whassqoodd,1
29,went sleep power cut noida power back working,0
30,im going home seen new twitter design quiteheavenly,1
31, hope uni make audition fighting date uni,1
32, consolation got mi tested haha says obese well much unhappy 10 minutes,0
33,thats funny cute kids,1
34,hhh slept game im gon na try best watch tomorrow though hope play army,1
35,thats end tears fears vs eric prod de hero,1
36,born raised nyc living texas past 10 years still miss ns,0
37, case wonder really busy today coming adding tons new blogs updates stay tuned,1
38,im soooooo sleeeeepy last day school todaysniffle,0
39, little happy wine jee ok free time cares java love day,1
40,car happy big big dent boot hoping theyre going write crossing fingers waiting,1
41,im avid fan magazine love magazines,1
42,mayday,1
43,rtt rock nashville toniteone txin sucked ns core ie 80s sil ave un show pearcy hot ad boy ok,1
44, love im available 5pm dear would love help convert kidsï¿½,1
45, girl hair salon asked shall trim eyebrows old feel,1
46,egh blah boooooooooooo dunno wan na go work hangovers suckkkkkk im drunk mess,0
47,visiting friendster facebook,1
48, doubt like peel pawns also dont like going shopping running money crawling round car looking,0
49, case got new one last week im thrilled mine,0
50, check connect temple hate twitter,1
51,also bored school third freelesson freistunde,1
52,hm us guess,1
53, u disappointed past days,0
54,romance zero funny,1
55,id rather early uncut morning runner,1
56,bah coworkers ran work late bag sacked knee really hurts,0
57, back later,1
58,aw torn ace hearts hunchback,0
59, fun speaking,1
60, lost friends im alone sleepy wan na go home,0
61,haha yes,1
62, give easily,0
63, better way spoil mum let kick back relax nice meal bottle favorite wine wine red,1
64,manner got iphone im jealous,0
65, photoshoot,1
66,yes awesome worked yes good friend,1
67,yay playing show tonight boo gon na foggy im work right playing,1
68,chilling,1
69, know agent let know,1
70, still smell smoke kitchenfire,1
71, celticslakers rematch sounds better dont think lol,1
72,anyone extra keane ticket promise buy drink take rad pics fb blog flickr etc,1
73, ride one catch one summer til pop open one,1
74, good gorjuz yea asked yesterday tha hospital talked u said,1
75, im popped say hi check things ill probably head guitar later tonight,1
76,ow really missin family day add,0
77, sources say,1
78, soon tired,0
79,hey change twitter account didnt even tell,1
80,hnk yyyyyyyyyoooooooooouuuuu,1
81,lucky kids wan na see loserville pity im oz,1
82,fell asleep waiting ride,1
83,sick flu like thing,0
84,still reply simfinger problem rape parody video get response sorry guys,0
85,happy star wars day everyone enjoy holiday,1
86,miles im essex give plenty warning arrive time get least one free beers,1
87, scoring annoying n keeps sleeping like right lol honestly ud miss eva left love,1
88, miss wish going tomorrow make good,0
